"","X1","ENTIDAD","NOM_ENT","MUN","MUNCA","NOM_MUN","LOC","NOM_LOC","AGEB","MZA","POBTOT","POBFEM","POBMAS","P_0A2","P_0A2_F","P_0A2_M","P_3YMAS","P_3YMAS_F","P_3YMAS_M","P_5YMAS","P_5YMAS_F","P_5YMAS_M","P_12YMAS","P_12YMAS_F","P_12YMAS_M","P_15YMAS","P_15YMAS_F","P_15YMAS_M","P_18YMAS","P_18YMAS_F","P_18YMAS_M","P_3A5","P_3A5_F","P_3A5_M","P_6A11","P_6A11_F","P_6A11_M","P_8A14","P_8A14_F","P_8A14_M","P_12A14","P_12A14_F","P_12A14_M","P_15A17","P_15A17_F","P_15A17_M","P_18A24","P_18A24_F","P_18A24_M","P_15A49_F","P_60YMAS","P_60YMAS_F","P_60YMAS_M","REL_H_M","POB0_14","POB15_64","POB65_MAS","PROM_HNV","PNACENT","PNACENT_F","PNACENT_M","PNACOE","PNACOE_F","PNACOE_M","PRES2015","PRES2015_F","PRES2015_M","PRESOE15","PRESOE15_F","PRESOE15_M","P3YM_HLI","P3YM_HLI_F","P3YM_HLI_M","P3HLINHE","P3HLINHE_F","P3HLINHE_M","P3HLI_HE","P3HLI_HE_F","P3HLI_HE_M","P5_HLI","P5_HLI_NHE","P5_HLI_HE","PHOG_IND","POB_AFRO","POB_AFRO_F","POB_AFRO_M","PCON_DISC","PCDISC_MOT","PCDISC_VIS","PCDISC_LENG","PCDISC_AUD","PCDISC_MOT2","PCDISC_MEN","PCON_LIMI","PCLIM_CSB","PCLIM_VIS","PCLIM_HACO","PCLIM_OAUD","PCLIM_MOT2","PCLIM_RE_CO","PCLIM_PMEN","PSIND_LIM","P3A5_NOA","P3A5_NOA_F","P3A5_NOA_M","P6A11_NOA","P6A11_NOAF","P6A11_NOAM","P12A14NOA","P12A14NOAF","P12A14NOAM","P15A17A","P15A17A_F","P15A17A_M","P18A24A","P18A24A_F","P18A24A_M","P8A14AN","P8A14AN_F","P8A14AN_M","P15YM_AN","P15YM_AN_F","P15YM_AN_M","P15YM_SE","P15YM_SE_F","P15YM_SE_M","P15PRI_IN","P15PRI_INF","P15PRI_INM","P15PRI_CO","P15PRI_COF","P15PRI_COM","P15SEC_IN","P15SEC_INF","P15SEC_INM","P15SEC_CO","P15SEC_COF","P15SEC_COM","P18YM_PB","P18YM_PB_F","P18YM_PB_M","GRAPROES","GRAPROES_F","GRAPROES_M","PEA","PEA_F","PEA_M","PE_INAC","PE_INAC_F","PE_INAC_M","POCUPADA","POCUPADA_F","POCUPADA_M","PDESOCUP","PDESOCUP_F","PDESOCUP_M","PSINDER","PDER_SS","PDER_IMSS","PDER_ISTE","PDER_ISTEE","PAFIL_PDOM","PDER_SEGP","PDER_IMSSB","PAFIL_IPRIV","PAFIL_OTRAI","P12YM_SOLT","P12YM_CASA","P12YM_SEPA","PCATOLICA","PRO_CRIEVA","POTRAS_REL","PSIN_RELIG","TOTHOG","HOGJEF_F","HOGJEF_M","POBHOG","PHOGJEF_F","PHOGJEF_M","VIVTOT","TVIVHAB","TVIVPAR","VIVPAR_HAB","VIVPARH_CV","TVIVPARHAB","VIVPAR_DES","VIVPAR_UT","OCUPVIVPAR","PROM_OCUP","PRO_OCUP_C","VPH_PISODT","VPH_PISOTI","VPH_1DOR","VPH_2YMASD","VPH_1CUART","VPH_2CUART","VPH_3YMASC","VPH_C_ELEC","VPH_S_ELEC","VPH_AGUADV","VPH_AEASP","VPH_AGUAFV","VPH_TINACO","VPH_CISTER","VPH_EXCSA","VPH_LETR","VPH_DRENAJ","VPH_NODREN","VPH_C_SERV","VPH_NDEAED","VPH_DSADMA","VPH_NDACMM","VPH_SNBIEN","VPH_REFRI","VPH_LAVAD","VPH_HMICRO","VPH_AUTOM","VPH_MOTO","VPH_BICI","VPH_RADIO","VPH_TV","VPH_PC","VPH_TELEF","VPH_CEL","VPH_INTER","VPH_STVP","VPH_SPMVPI","VPH_CVJ","VPH_SINRTV","VPH_SINLTC","VPH_SINCINT","VPH_SINTIC"
"1",1,11,"Guanajuato",1,"001","Abasolo",0,"Total del municipio",0,0,92040,47187,44853,5112,2515,2597,86923,44669,42254,83655,43009,40646,71592,37083,34509,66565,34605,31960,61603,32197,29406,4856,2413,2443,10475,5173,5302,12141,6034,6107,5027,2478,2549,4962,2408,2554,11426,5703,5723,24296,11108,5806,5302,95.05,25470,58660,7905,2.44,88083,45144,42939,3269,1693,1576,82323,42513,39810,784,380,404,84,"33","51","*","*","0",82,"32","50",81,"0",80,153,"516","266","250",5376,2938,1978,784,1014,973,870,11452,4307,7175,778,2202,545,2031,1264,74563,2088,1055,1033,361,168,193,723,326,397,2954,1492,1462,2701,1365,1336,300,131,169,5057,2923,2134,5880,3050,2830,9185,4782,4403,13051,6699,6352,2187,854,1333,19631,10700,8931,14620,7472,7148,7.73,7.73,7.74,42110,15099,27011,29130,21875,7255,41683,15006,26677,427,93,334,16749,75258,13369,3207,"193",115,57648,586,360,"82",22794,42563,6216,86620,3514,"17",1839,22275,5972,16303,91946,22888,69058,27505,22284,27386,22165,22241,22275,4096,1125,91946,4.13,1.17,21965,273,6357,15881,1152,3971,17115,22134,104,21831,8920,407,16100,5021,20513,502,20762,1476,20436,"17",20363,9460,173,20257,15732,7558,10580,5182,9159,14522,20829,4679,4597,18132,7220,6839,999,786,854,2907,13697,405
"2",2,11,"Guanajuato",2,"002","Acámbaro",0,"Total del municipio",0,0,108697,56489,52208,4793,2412,2381,103869,54060,49809,100184,52239,47945,87626,46029,41597,82330,43490,38840,76891,40765,36126,5724,2831,2893,10519,5200,5319,12420,6072,6348,5296,2539,2757,5439,2725,2714,11672,5946,5726,27450,18338,9739,8599,92.42,26332,68964,13366,2.43,98068,50849,47219,9506,5085,4421,97453,51179,46274,1642,827,815,98,"51","47","*","0","*",97,"51","46",98,"*",97,219,"782","381","401",7385,3940,3090,996,1797,1444,1377,14341,5117,9245,866,3512,857,2982,1378,86345,2078,1019,1059,375,181,194,591,263,328,3637,1908,1729,3084,1606,1478,250,104,146,5984,3263,2721,7248,3685,3563,8744,4679,4065,12913,6471,6442,2268,956,1312,25354,13853,11501,23198,12428,10770,8.34,8.41,8.27,51121,19887,31234,36172,26033,10139,50207,19707,30500,914,180,734,22418,86180,22395,6359,"265",104,56566,292,970,"239",27829,49305,10479,100749,3497,"83",4242,30171,10701,19470,108269,35544,72725,45739,30192,45596,30049,30100,30171,11130,4417,108269,3.59,0.93,29509,579,8648,21436,657,3932,25496,29962,125,29756,19372,331,26328,8237,29378,245,29503,584,29219,"39",29300,13956,201,28148,24443,15197,13760,6108,8236,23600,28618,7600,11243,25177,11292,11819,2337,1879,711,2687,17094,374
"3",3,11,"Guanajuato",3,"003","San Miguel de Allende",0,"Total del municipio",0,0,174615,91538,83077,9781,4833,4948,164784,86680,78104,158168,83371,74797,136485,72600,63885,126897,67897,59000,117311,63014,54297,9710,4856,4854,18589,9224,9365,22354,11033,11321,9588,4703,4885,9586,4883,4703,21648,11327,10321,48542,20204,11019,9185,90.76,47668,112782,14115,2.2,159470,83824,75646,10724,5483,5241,153467,81493,71974,2483,1265,1218,330,"134","196","*","*","0",324,"132","192",325,"*",319,671,"3112","1618","1494",5717,2968,2275,1118,1325,1359,1201,13358,4783,8030,1193,3159,1130,2686,2030,154287,3867,1917,1950,923,425,498,1229,530,699,5770,3144,2626,4513,2496,2017,565,241,324,9670,5979,3691,12427,6997,5430,10344,5095,5249,20051,10054,9997,3725,1674,2051,35459,19606,15853,40728,22143,18585,8.7,8.73,8.66,87924,37608,50316,48064,34782,13282,86918,37382,49536,1006,226,780,61938,112543,25724,5309,"132",77,76638,430,3629,"1327",49734,73850,12894,157627,5060,"299",11362,44543,15887,28656,173859,57079,116780,61035,44573,59895,43433,44484,44543,8652,7810,173859,3.9,1.04,43191,1281,13004,31468,1598,7017,35855,44020,452,42800,24514,1672,36644,8306,40142,1644,40808,3664,39530,"107",39737,19647,438,40867,31961,21040,22864,6149,6897,29835,41363,14754,14423,38093,20862,23867,6508,2788,1924,5119,22066,966
"4",4,11,"Guanajuato",4,"004","Apaseo el Alto",0,"Total del municipio",0,0,63392,32842,30550,3268,1625,1643,60120,31214,28906,57713,30036,27677,49438,25913,23525,45885,24111,21774,42387,22382,20005,3581,1772,1809,7101,3529,3572,8233,4110,4123,3553,1802,1751,3498,1729,1769,7785,4031,3754,17333,7224,3772,3452,93.02,17503,40836,5049,2.38,51906,27105,24801,10899,5456,5443,56406,29495,26911,881,465,416,91,"32","59","0","0","0",90,"32","58",90,"0",89,260,"580","291","289",3693,1966,1603,493,779,647,717,7113,2357,4652,407,1471,308,1442,792,52202,1348,643,705,256,118,138,327,158,169,2317,1211,1106,1931,1070,861,176,81,95,3681,2072,1609,5035,2589,2446,4376,2162,2214,7861,4037,3824,1223,478,745,14795,8049,6746,11088,6001,5087,7.93,8.04,7.81,29864,11698,18166,19406,14165,5241,29339,11612,17727,525,86,439,13347,50012,13353,2117,"196",64,33968,80,399,"104",16241,28843,4351,59123,1834,"14",2360,16165,5413,10752,63376,19874,43502,22999,16171,22831,16003,16136,16165,5435,1393,63376,3.92,1.09,15713,421,4835,11298,558,2757,12818,16047,86,15951,10827,182,13693,1135,15467,186,15546,587,15405,"18",15416,6938,124,15093,11730,7893,8374,2601,2527,11810,15247,3917,3198,13674,6198,6210,920,880,489,1766,9144,266
"5",5,11,"Guanajuato",5,"005","Apaseo el Grande",0,"Total del municipio",0,0,117883,60630,57253,5500,2684,2816,106949,55230,51719,102682,53065,49617,88009,45722,42287,81652,42597,39055,75734,39646,36088,6365,3277,3088,12575,6231,6344,14772,7255,7517,6357,3125,3232,5918,2951,2967,13908,7013,6895,32480,9749,5096,4653,94.43,30797,75067,6585,2.12,77677,40505,37172,33898,16948,16950,86271,44981,41290,15670,7828,7842,309,"140","169","*","*","0",301,"133","168",306,"*",298,658,"1497","742","755",4892,2412,2162,784,991,920,936,10960,3649,6895,887,2248,697,2068,1371,95801,2452,1170,1282,617,310,307,604,284,320,3875,1953,1922,3126,1595,1531,311,139,172,4317,2566,1751,5679,3097,2582,6196,3335,2861,11320,6119,5201,2211,983,1228,27227,14457,12770,26285,13158,13127,8.85,8.75,8.96,54766,21922,32844,33017,23704,9313,53660,21632,32028,1106,290,816,25494,86801,50748,3262,"99",105,30841,434,1403,"688",28386,51337,8200,98897,5653,"65",7610,31264,9993,21271,117842,35360,82482,40881,31269,35854,26242,31245,31264,8022,1590,117842,3.77,1.09,28713,1081,8387,21417,831,5902,23071,29663,145,29470,20545,338,21108,4454,29022,405,29160,643,28880,"33",28901,13655,149,27534,22143,14274,13689,5836,11838,21815,28116,9303,6258,26791,14691,14047,3684,2531,775,2313,13410,317
"6",6,11,"Guanajuato",6,"006","Atarjea",0,"Total del municipio",0,0,5296,2713,2583,263,129,134,5033,2584,2449,4828,2481,2347,4136,2105,2031,3802,1947,1855,3493,1797,1696,306,158,148,591,321,270,744,385,359,334,158,176,309,150,159,527,265,262,1268,907,461,446,95.21,1494,3078,724,3.25,4086,2068,2018,1184,631,553,4635,2373,2262,172,104,68,5,"4","*","0","0","0",5,"4","*",4,"0",4,17,"*","*","*",597,300,318,57,137,79,93,972,335,639,52,189,29,234,68,3706,87,41,46,26,15,11,13,5,8,250,127,123,109,63,46,15,6,9,501,304,197,587,313,274,476,210,266,600,276,324,83,37,46,1095,594,501,809,449,360,7.23,7.41,7.05,1903,545,1358,2215,1553,662,1852,541,1311,51,4,47,798,4492,77,277,"19",3,4150,3,13,"4",1345,2407,383,4897,50,"8",266,1558,473,1085,5287,1379,3908,2232,1559,2230,1557,1551,1558,420,253,5287,3.39,1.06,1512,39,652,899,84,323,1144,1501,50,906,258,645,1243,433,1094,247,1226,302,756,"21",1023,1091,125,970,650,232,446,61,37,503,1168,199,43,881,529,503,23,6,301,652,976,196
"7",7,11,"Guanajuato",7,"007","Celaya",0,"Total del municipio",0,0,521169,268124,253045,22612,10988,11624,497716,256715,241001,479437,247804,231633,418215,217862,200353,392140,205010,187130,365309,191959,173350,28351,13788,14563,51150,25065,26085,60612,29724,30888,26075,12852,13223,26831,13051,13780,63024,31283,31741,144091,60124,32623,27501,94.38,128188,352485,39655,1.98,459580,237301,222279,57246,28718,28528,466919,242392,224527,9777,4623,5154,1076,"466","610","13","9","4",985,"419","566",1068,"11",981,2608,"12889","6516","6373",20807,10412,8620,3425,4410,4335,3916,48725,15252,30945,3417,10380,2784,9020,5773,447365,9264,4517,4747,2436,1189,1247,2305,1039,1266,19838,9930,9908,22861,11489,11372,1478,678,800,13175,7991,5184,17929,10218,7711,21136,11471,9665,46143,25172,20971,9742,4284,5458,108974,57649,51325,173731,88462,85269,10.11,9.98,10.25,262642,111589,151053,154424,105776,48648,258044,110214,147830,4598,1375,3223,126329,393430,238142,31084,"752",710,114072,1832,9841,"1953",147000,224964,45943,458610,26928,"495",33450,143420,49539,93881,519772,168837,350935,180622,143512,174344,137234,143297,143420,31105,6005,519772,3.62,0.94,138491,4509,34857,108189,3418,18411,121211,142593,464,141408,121316,1648,112474,60228,141923,605,141891,1029,140398,"89",141484,58503,501,135959,119273,85158,75903,21648,58399,102673,136683,62851,64735,128759,84102,70319,29532,19331,3426,8679,51492,1270
"8",8,11,"Guanajuato",8,"008","Manuel Doblado",0,"Total del municipio",0,0,41240,21463,19777,2304,1147,1157,38933,20314,18619,37396,19550,17846,31674,16665,15009,29423,15575,13848,27261,14528,12733,2343,1172,1171,4916,2477,2439,5484,2710,2774,2251,1090,1161,2162,1047,1115,4726,2498,2228,10733,5644,2916,2728,92.14,11814,25244,4179,2.63,37923,19757,18166,2740,1406,1334,36102,19106,16996,524,260,264,23,"11","12","0","0","0",23,"11","12",22,"0",22,63,"231","106","125",2740,1411,1041,378,585,482,563,5688,1887,3478,282,1162,201,1432,586,32564,1122,561,561,182,87,95,403,194,209,1065,545,520,833,468,365,219,84,135,2585,1465,1120,3046,1581,1465,4511,2131,2380,5931,2903,3028,886,378,508,9408,5510,3898,4937,2705,2232,7.2,7.39,6.98,18933,7035,11898,12594,9566,3028,18737,6991,11746,196,44,152,6870,34354,6023,1017,"166",28,27076,48,182,"20",9917,18627,3121,38259,1687,"22",1252,11183,3367,7816,41222,10981,30241,15891,11186,15857,11152,11168,11183,3385,1320,41222,3.69,1.03,11013,154,3666,7502,435,1879,8854,11054,114,10961,5173,207,9325,1144,10405,77,10432,736,10278,"25",10317,3788,95,10181,9085,5183,6324,3331,4913,7690,10386,2609,3034,9292,3676,2837,636,642,439,1123,6657,194
"9",9,11,"Guanajuato",9,"009","Comonfort",0,"Total del municipio",0,0,82216,43483,38733,4950,2391,2559,77265,41092,36173,74076,39478,34598,63027,33926,29101,58343,31565,26778,53561,29189,24372,4741,2400,2341,9497,4766,4731,11031,5594,5437,4684,2361,2323,4782,2376,2406,10616,5597,5019,23154,8351,4596,3755,89.08,23872,52530,5813,2.41,79047,41858,37189,2681,1386,1295,72974,39124,33850,517,251,266,228,"121","107","0","0","0",228,"121","107",227,"0",227,232,"457","257","200",3514,1880,1378,538,727,628,649,7979,3011,4778,617,1702,413,1618,809,70344,1971,998,973,325,149,176,488,210,278,2871,1501,1370,2368,1327,1041,283,110,173,4740,2883,1857,5677,3172,2505,5564,2794,2770,9042,4611,4431,1651,713,938,19849,10987,8862,14554,8159,6395,8.17,8.25,8.07,37053,14797,22256,25789,19067,6722,36412,14684,21728,641,113,528,17324,64855,15465,3061,"282",44,44551,1137,323,"398",22029,35053,5934,78057,2197,"18",1898,19536,7831,11705,82195,31589,50606,24694,19541,24662,19509,19482,19536,3601,1552,82195,4.21,1.2,18195,1287,6000,13482,893,3906,14682,19212,270,17521,12952,1961,13259,5865,16735,1105,17033,2449,16044,"109",16601,11612,356,16350,12261,7150,6834,2355,9432,11821,17836,4023,3673,15490,7073,7541,1158,829,1041,3357,11607,603
"10",10,11,"Guanajuato",10,"010","Coroneo",0,"Total del municipio",0,0,11083,5813,5270,549,279,270,10534,5534,5000,10113,5341,4772,8609,4590,4019,7980,4287,3693,7345,4005,3340,621,296,325,1304,648,656,1513,742,771,629,303,326,635,282,353,1158,613,545,2878,1531,828,703,90.66,3103,6869,1111,2.51,8557,4501,4056,2417,1268,1149,9648,5105,4543,379,216,163,20,"9","11","0","0","0",20,"9","11",19,"0",19,52,"97","51","46",694,366,310,102,150,129,146,1609,491,1041,68,293,55,343,166,8723,256,116,140,53,26,27,52,23,29,458,213,245,238,135,103,22,8,14,614,350,264,746,395,351,965,469,496,1361,641,720,209,79,130,2669,1531,1138,1754,1037,717,7.77,8.03,7.48,4976,1935,3041,3582,2646,936,4807,1910,2897,169,25,144,1818,9258,416,281,"80",4,8320,35,133,"24",2927,4731,951,10658,132,"4",286,3133,1050,2083,11063,3088,7975,5070,3135,5064,3129,3124,3133,1338,597,11063,3.53,0.95,3079,45,997,2127,39,377,2708,3099,25,3092,1239,32,2946,239,2982,33,2921,203,2892,"4",2912,1246,38,2867,2067,1334,1800,354,548,1995,2848,504,447,2698,757,756,70,83,143,335,2184,58
