Entidad federativa,Bienes y tecnologías de la información y de la comunicación,Total viviendas por entidad,Viviendas con internet,Viviendas sin internet,No especificado,Población total de viviendas ocupadas por entidad,Ocupantes de viviendas particulares habitadas con internet,Ocupantes de viviendas particulares habitadas sin internet,No especificado
01 Aguascalientes,Internet,386011,236003,149536,472,1419988,883929,534346,1713
02 Baja California,Internet,1144251,800189,340961,3101,3728353,2731921,986780,9652
03 Baja California Sur,Internet,239358,148723,89322,1313,790700,504921,281674,4105
04 Campeche,Internet,260221,114020,144908,1293,925471,419277,501704,4490
05 Coahuila de Zaragoza,Internet,900275,519599,378514,2162,3135475,1889832,1238682,6961
06 Colima,Internet,226445,132395,93313,737,727238,445370,279776,2092
07 Chiapas,Internet,1348105,292189,1049093,6823,5514808,1132989,4353195,28624
08 Chihuahua,Internet,1145185,650546,491868,2771,3721612,2228555,1484185,8872
09 Ciudad de México,Internet,2752169,2084156,664131,3882,9147377,7119472,2016521,11384
10 Durango,Internet,493142,215108,276918,1116,1819591,812553,1003150,3888
11 Guanajuato,Internet,1584834,764350,816514,3970,6139221,3012783,3111960,14478
12 Guerrero,Internet,939989,298180,637474,4335,3519518,1150789,2353668,15061
13 Hidalgo,Internet,855830,332320,522412,1098,3071249,1228192,1839501,3556
14 Jalisco,Internet,2327794,1437473,875027,15294,8295654,5278380,2963635,53639
15 México,Internet,4561381,2561525,1994609,5247,16919452,9731309,7170298,17845
16 Michoacán de Ocampo,Internet,1282371,561753,719186,1432,4721373,2131597,2585067,4709
17 Morelos,Internet,559102,307830,250913,359,1957194,1125528,830481,1185
18 Nayarit,Internet,360079,169289,190320,470,1222763,597757,623567,1439
19 Nuevo León,Internet,1654199,1150914,497059,6226,5765893,4199997,1544770,21126
20 Oaxaca,Internet,1121846,329811,789029,3006,4101154,1262358,2828396,10400
21 Puebla,Internet,1710331,691363,1016947,2021,6557568,2648537,3902211,6820
22 Querétaro,Internet,667596,430045,235468,2083,2359715,1513949,838464,7302
23 Quintana Roo,Internet,574124,319194,247955,6975,1849128,1046651,780852,21625
24 San Luis Potosí,Internet,773425,344443,428102,880,2811874,1277288,1531516,3070
25 Sinaloa,Internet,853421,441062,411497,862,2983189,1606968,1373356,2865
26 Sonora,Internet,874341,530511,342652,1178,2919910,1862818,1053526,3566
27 Tabasco,Internet,668486,228487,439565,434,2394994,848089,1545500,1405
28 Tamaulipas,Internet,1067197,580241,484974,1982,3513282,2036142,1471044,6096
29 Tlaxcala,Internet,340954,131845,203867,5242,1338806,538814,778816,21176
30 Veracruz de Ignacio de la Llave,Internet,2385265,959542,1424232,1491,8031248,3365006,4661812,4430
31 Yucatán,Internet,656907,339142,316521,1244,2313653,1221852,1087634,4167
32 Zacatecas,Internet,442263,204945,236730,588,1616385,786608,827740,2037
